age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
33,58,54,50,74,53,38,68,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,66,63,60,80,31,26,79,7,12,126,34,3,3,1,13,9,0,4,0,0,29,0,66,27,10,0,1,7,7,0,4,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0
33,71,66,70,75,56,54,78,10,16,39,11,21,0,0,4,0,0,3,0,0,14,0,94,29,6,2,1,12,5,0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0
29,67,65,67,79,24,60,76,15,15,44,20,16,2,2,3,4,0,2,0,0,41,0,48,13,21,0,0,5,6,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0
28,68,68,73,68,59,57,64,10,12,71,31,5,5,3,4,5,0,4,0,0,67,0,53,16,21,0,4,5,3,0,5,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0
30,75,71,74,74,47,59,78,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,76,72,72,82,32,62,83,12,8,85,31,0,2,0,9,1,0,1,0,0,44,0,85,31,3,3,1,7,1,0,0,0,0,43,1,0,1,0,0,0,0,0,0,0,0,0
19,39,36,39,57,24,36,66,14,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,68,59,75,73,64,69,72,8,14,48,31,3,1,2,5,5,0,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,66,63,66,62,48,51,71,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,70,71,75,82,65,71,78,16,6,13,8,19,1,0,1,1,0,1,0,0,39,0,40,20,17,0,0,4,6,0,4,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0
29,68,67,59,82,30,50,80,3,4,40,20,4,0,0,4,2,0,1,0,0,31,0,71,27,6,0,0,9,5,0,2,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0
23,53,48,57,65,39,29,67,16,15,5,3,5,0,0,0,1,0,1,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
30,71,73,64,74,36,57,73,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,4,1,0,2,5,0,3,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0
