age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
28,35,28,21,20,13,25,13,75,84,0,0,32,0,0,0,0,0,0,0,0,0,0,12,6,11,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
22,26,22,15,24,18,49,11,70,80,51,20,18,0,0,6,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,31,25,19,7,8,28,12,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,36,25,25,22,16,44,15,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,1,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0
24,35,32,22,22,15,55,11,81,86,54,20,0,0,0,6,0,0,0,0,0,24,0,88,33,1,0,0,8,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,0,0
20,39,34,26,15,9,43,7,63,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,18,18,17,8,6,30,6,53,56,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,33,22,19,15,16,31,11,69,77,-1,0,34,0,0,0,1,0,0,0,0,0,0,12,2,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,32,37,28,24,12,46,15,79,83,91,35,0,0,0,10,1,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,31,30,21,22,13,15,14,62,66,-1,1,15,0,0,0,0,0,0,0,0,4,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,39,37,19,25,7,34,11,71,67,12,3,6,0,0,1,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,28,27,21,13,10,28,12,60,66,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,20,25,20,28,15,37,12,67,71,3,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,29,21,16,26,14,14,11,69,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,25,15,16,9,4,21,5,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,24,28,21,21,11,23,14,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,71,30,5,0,0,6,1,0,0,1,0,41,0,0,0,0,0,0,0,1,0,0,0,0
