age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
20,68,58,71,41,76,67,37,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,68,50,74,20,68,50,23,14,11,48,3,31,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,77,71,79,52,79,75,49,6,15,79,16,9,6,3,0,1,0,11,0,0,0,0,135,34,1,12,4,0,5,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,66,54,70,33,79,67,22,16,14,110,26,8,9,3,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,77,59,79,44,80,76,23,11,24,36,8,10,2,2,0,3,0,3,0,0,0,0,99,21,8,9,3,0,5,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,70,69,68,72,63,68,62,11,22,51,18,19,0,1,0,3,0,3,0,0,0,0,11,2,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,68,42,78,31,85,61,15,7,7,209,34,1,26,7,0,5,0,1,0,3,0,0,134,31,7,12,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,78,61,75,36,65,76,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,45,33,67,10,72,40,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,70,48,74,18,75,63,15,3,3,109,31,7,5,7,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
