age,Position,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
26,Defender,72,61,72,70,63,69,72,9,12,81,34,2,1,5,8,6,0,0,0,0,61,1,58,22,10,2,1,6,5,0,2,0,0,53,0,0,1,0,0,0,0,0,0,0,0,0
29,Forward,72,48,74,41,76,65,27,12,9,70,7,25,8,1,0,2,0,4,0,0,0,0,27,7,11,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Forward,74,53,74,14,72,69,15,8,9,46,3,27,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Forward,53,29,67,33,63,44,23,7,14,44,13,16,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Forward,71,32,70,12,75,50,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Forward,75,68,75,69,64,74,63,11,26,63,20,25,2,1,0,2,0,10,0,0,0,0,24,4,17,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Midfielder,68,54,82,39,66,68,29,6,6,16,1,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Midfielder,78,71,86,32,75,78,23,14,12,133,30,4,10,9,0,5,0,9,0,1,0,0,59,15,20,3,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Forward,53,39,66,13,69,44,16,12,6,16,3,13,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Defender,66,68,64,83,24,22,80,3,3,58,21,4,0,0,7,4,0,1,0,0,22,0,70,28,1,0,1,9,8,0,2,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0
31,Midfielder,73,71,71,64,59,68,60,14,6,27,9,19,0,1,0,2,0,5,0,0,0,0,25,3,26,0,2,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Forward,74,62,77,42,78,74,29,14,16,52,16,12,3,0,0,1,0,13,0,0,0,0,63,13,20,2,5,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Midfielder,77,75,81,21,69,76,20,10,7,48,18,13,0,3,0,4,0,8,0,0,0,0,20,2,16,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Midfielder,77,74,81,68,73,74,59,15,7,82,19,18,7,1,0,3,0,13,0,0,0,0,72,26,8,4,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Forward,16,29,21,12,4,33,9,61,69,35,7,8,2,1,0,0,0,6,0,0,0,0,45,9,6,3,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Defender,63,61,65,68,53,58,76,15,10,11,6,11,0,0,1,0,0,0,0,0,13,0,2,3,13,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
23,Goalkeeper,21,22,23,19,12,38,13,67,68,8,2,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,Forward,69,55,75,43,78,65,23,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,93,9,23,9,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Midfielder,67,61,76,22,67,58,28,11,6,62,17,15,3,2,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Defender,79,77,82,78,77,69,74,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,19,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
30,Defender,56,48,48,64,13,21,66,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21,1,0,0,2,0,1,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0
23,Midfielder,69,63,72,63,64,68,49,7,8,36,11,21,1,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Midfielder,84,81,82,77,74,81,66,12,15,66,20,8,3,2,0,2,0,2,0,0,0,0,47,19,12,1,1,0,4,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Midfielder,74,73,77,63,73,73,60,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,62,16,21,1,4,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Midfielder,75,72,75,68,68,76,52,9,13,58,21,11,2,2,0,5,1,12,0,0,0,0,87,31,4,3,4,0,7,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Defender,67,61,69,72,61,49,66,8,7,7,2,9,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Forward,74,68,72,74,72,70,66,5,14,38,13,17,2,0,0,5,0,4,0,0,0,0,59,21,10,2,3,0,9,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Midfielder,72,73,74,41,70,71,37,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Defender,45,40,45,62,14,19,68,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,Midfielder,73,71,74,56,72,74,26,8,13,95,31,4,6,2,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Midfielder,75,69,73,71,69,67,62,7,7,58,28,5,0,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
