age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
27,80,74,79,66,66,78,56,5,5,16,3,30,0,0,0,0,0,2,0,0,0,0,24,4,34,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,64,63,61,69,62,64,69,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,77,77,83,65,69,75,68,14,7,90,34,1,5,3,0,10,1,11,0,0,0,0,2,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,70,65,70,63,57,63,54,12,9,20,8,27,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,68,66,70,56,69,66,35,15,9,15,3,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,82,76,74,65,65,76,62,14,8,44,21,1,0,1,0,2,0,3,0,0,0,0,81,38,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,75,72,76,31,64,67,42,6,12,11,3,28,1,0,0,1,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,75,67,79,21,70,71,39,11,13,89,30,7,3,4,0,4,0,15,0,0,0,0,54,12,9,4,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,74,69,73,67,72,69,68,6,6,39,15,22,1,0,0,4,0,5,0,0,0,0,45,9,27,2,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,83,79,85,38,82,81,37,7,11,100,24,6,6,7,0,1,1,13,0,0,0,0,159,26,3,10,18,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,63,65,66,23,57,63,16,15,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,72,68,63,58,53,61,47,15,12,13,6,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,73,63,77,32,73,73,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
